確定病名,發病日,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
嚴重特殊傳染性肺炎,2020/02/06,彰化縣,彰化市,F,否,70+,1
嚴重特殊傳染性肺炎,2020/02/08,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/02/15,彰化縣,彰化市,M,否,55-59,1
嚴重特殊傳染性肺炎,2020/02/18,桃園市,龜山區,F,否,25-29,1
嚴重特殊傳染性肺炎,2020/02/18,桃園市,蘆竹區,F,否,55-59,1
嚴重特殊傳染性肺炎,2020/02/19,桃園市,龜山區,F,否,55-59,2
嚴重特殊傳染性肺炎,2020/02/19,新北市,林口區,F,否,40-44,1
嚴重特殊傳染性肺炎,2020/02/20,空值,空值,F,是,65-69,1
嚴重特殊傳染性肺炎,2020/02/23,桃園市,蘆竹區,F,否,55-59,1
嚴重特殊傳染性肺炎,2020/02/23,新北市,新店區,M,否,10-14,1
嚴重特殊傳染性肺炎,2020/02/24,新北市,中和區,F,否,30-34,1
嚴重特殊傳染性肺炎,2020/02/25,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/02/25,桃園市,桃園區,F,否,25-29,1
嚴重特殊傳染性肺炎,2020/02/25,桃園市,龜山區,F,否,40-44,1
嚴重特殊傳染性肺炎,2020/02/26,空值,空值,F,是,70+,1
嚴重特殊傳染性肺炎,2020/02/27,台中市,北屯區,M,否,50-54,1
嚴重特殊傳染性肺炎,2020/02/28,新北市,中和區,M,否,50-54,1
嚴重特殊傳染性肺炎,2020/02/29,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/01,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/01,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/02,空值,空值,M,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/02,桃園市,蘆竹區,F,否,25-29,1
嚴重特殊傳染性肺炎,2020/03/03,空值,空值,F,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/03,新北市,新店區,F,否,55-59,1
嚴重特殊傳染性肺炎,2020/03/05,空值,空值,F,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/06,空值,空值,F,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/06,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/06,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/06,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/06,空值,空值,M,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/06,桃園市,蘆竹區,M,否,20-24,1
嚴重特殊傳染性肺炎,2020/03/07,空值,空值,F,是,15-19,1
嚴重特殊傳染性肺炎,2020/03/07,空值,空值,F,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/07,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/07,空值,空值,M,是,30-34,2
嚴重特殊傳染性肺炎,2020/03/07,空值,空值,M,是,70+,1
嚴重特殊傳染性肺炎,2020/03/08,空值,空值,F,是,20-24,2
嚴重特殊傳染性肺炎,2020/03/08,空值,空值,F,是,25-29,2
嚴重特殊傳染性肺炎,2020/03/08,空值,空值,F,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/08,空值,空值,F,是,40-44,1
嚴重特殊傳染性肺炎,2020/03/08,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/08,空值,空值,M,是,30-34,2
嚴重特殊傳染性肺炎,2020/03/08,空值,空值,M,是,40-44,1
嚴重特殊傳染性肺炎,2020/03/09,空值,空值,F,是,35-39,2
嚴重特殊傳染性肺炎,2020/03/09,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/10,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/10,空值,空值,F,是,30-34,2
嚴重特殊傳染性肺炎,2020/03/10,空值,空值,F,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/10,空值,空值,M,是,20-24,2
嚴重特殊傳染性肺炎,2020/03/10,空值,空值,M,是,4,1
嚴重特殊傳染性肺炎,2020/03/11,空值,空值,F,是,20-24,2
嚴重特殊傳染性肺炎,2020/03/11,空值,空值,F,是,55-59,1
嚴重特殊傳染性肺炎,2020/03/11,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/11,空值,空值,M,是,30-34,2
嚴重特殊傳染性肺炎,2020/03/11,空值,空值,M,是,35-39,2
嚴重特殊傳染性肺炎,2020/03/12,台南市,新市區,F,否,25-29,1
嚴重特殊傳染性肺炎,2020/03/12,空值,空值,F,是,15-19,1
嚴重特殊傳染性肺炎,2020/03/12,空值,空值,F,是,20-24,2
嚴重特殊傳染性肺炎,2020/03/12,空值,空值,F,是,25-29,2
嚴重特殊傳染性肺炎,2020/03/12,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/12,空值,空值,F,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/12,空值,空值,M,是,15-19,1
嚴重特殊傳染性肺炎,2020/03/12,空值,空值,M,是,20-24,2
嚴重特殊傳染性肺炎,2020/03/12,空值,空值,M,是,25-29,3
嚴重特殊傳染性肺炎,2020/03/12,空值,空值,M,是,30-34,2
嚴重特殊傳染性肺炎,2020/03/12,空值,空值,M,是,50-54,1
嚴重特殊傳染性肺炎,2020/03/12,桃園市,龜山區,F,否,20-24,1
嚴重特殊傳染性肺炎,2020/03/13,空值,空值,F,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/13,空值,空值,F,是,25-29,2
嚴重特殊傳染性肺炎,2020/03/13,空值,空值,F,是,30-34,3
嚴重特殊傳染性肺炎,2020/03/13,空值,空值,F,是,45-49,1
嚴重特殊傳染性肺炎,2020/03/13,空值,空值,F,是,55-59,1
嚴重特殊傳染性肺炎,2020/03/13,空值,空值,F,是,65-69,1
嚴重特殊傳染性肺炎,2020/03/13,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/13,空值,空值,M,是,50-54,1
嚴重特殊傳染性肺炎,2020/03/13,空值,空值,M,是,55-59,2
嚴重特殊傳染性肺炎,2020/03/13,空值,空值,M,是,60-64,2
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,F,是,20-24,3
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,F,是,25-29,2
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,F,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,F,是,40-44,1
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,F,是,45-49,1
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,F,是,50-54,1
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,F,是,55-59,2
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,M,是,25-29,2
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,M,是,40-44,1
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,M,是,45-49,1
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,M,是,55-59,2
嚴重特殊傳染性肺炎,2020/03/14,空值,空值,M,是,65-69,1
嚴重特殊傳染性肺炎,2020/03/15,空值,空值,F,是,20-24,2
嚴重特殊傳染性肺炎,2020/03/15,空值,空值,F,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/15,空值,空值,F,是,50-54,1
嚴重特殊傳染性肺炎,2020/03/15,空值,空值,F,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/15,空值,空值,F,是,65-69,1
嚴重特殊傳染性肺炎,2020/03/15,空值,空值,M,是,20-24,3
嚴重特殊傳染性肺炎,2020/03/15,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/15,空值,空值,M,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/15,空值,空值,M,是,70+,1
嚴重特殊傳染性肺炎,2020/03/15,新北市,三重區,M,否,15-19,1
嚴重特殊傳染性肺炎,2020/03/16,空值,空值,F,是,20-24,7
嚴重特殊傳染性肺炎,2020/03/16,空值,空值,F,是,25-29,3
嚴重特殊傳染性肺炎,2020/03/16,空值,空值,F,是,40-44,1
嚴重特殊傳染性肺炎,2020/03/16,空值,空值,F,是,45-49,1
嚴重特殊傳染性肺炎,2020/03/16,空值,空值,F,是,50-54,1
嚴重特殊傳染性肺炎,2020/03/16,空值,空值,F,是,70+,1
嚴重特殊傳染性肺炎,2020/03/16,空值,空值,M,是,20-24,2
嚴重特殊傳染性肺炎,2020/03/16,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/16,空值,空值,M,是,30-34,4
嚴重特殊傳染性肺炎,2020/03/16,空值,空值,M,是,35-39,3
嚴重特殊傳染性肺炎,2020/03/16,空值,空值,M,是,45-49,1
嚴重特殊傳染性肺炎,2020/03/16,空值,空值,M,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/16,新北市,汐止區,M,否,35-39,1
嚴重特殊傳染性肺炎,2020/03/17,台中市,北區,F,否,30-34,1
嚴重特殊傳染性肺炎,2020/03/17,台北市,大同區,F,否,15-19,1
嚴重特殊傳染性肺炎,2020/03/17,台北市,內湖區,F,否,50-54,1
嚴重特殊傳染性肺炎,2020/03/17,台北市,內湖區,M,否,35-39,1
嚴重特殊傳染性肺炎,2020/03/17,空值,空值,F,是,20-24,5
嚴重特殊傳染性肺炎,2020/03/17,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/17,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/17,空值,空值,M,是,15-19,1
嚴重特殊傳染性肺炎,2020/03/17,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/17,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/17,空值,空值,M,是,40-44,2
嚴重特殊傳染性肺炎,2020/03/17,空值,空值,M,是,50-54,1
嚴重特殊傳染性肺炎,2020/03/17,空值,空值,M,是,70+,1
嚴重特殊傳染性肺炎,2020/03/17,新北市,中和區,F,否,30-34,1
嚴重特殊傳染性肺炎,2020/03/17,新北市,五股區,M,否,25-29,1
嚴重特殊傳染性肺炎,2020/03/18,台北市,信義區,F,否,35-39,1
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,F,是,15-19,3
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,F,是,20-24,5
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,F,是,55-59,1
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,F,是,65-69,1
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,F,是,70+,1
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,M,是,25-29,2
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,M,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,M,是,40-44,1
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,M,是,55-59,2
嚴重特殊傳染性肺炎,2020/03/18,空值,空值,M,是,65-69,1
嚴重特殊傳染性肺炎,2020/03/19,空值,空值,F,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/19,空值,空值,F,是,25-29,2
嚴重特殊傳染性肺炎,2020/03/19,空值,空值,F,是,30-34,3
嚴重特殊傳染性肺炎,2020/03/19,空值,空值,F,是,45-49,1
嚴重特殊傳染性肺炎,2020/03/19,空值,空值,M,是,15-19,1
嚴重特殊傳染性肺炎,2020/03/19,空值,空值,M,是,20-24,4
嚴重特殊傳染性肺炎,2020/03/19,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/19,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/19,空值,空值,M,是,35-39,2
嚴重特殊傳染性肺炎,2020/03/19,空值,空值,M,是,40-44,1
嚴重特殊傳染性肺炎,2020/03/19,空值,空值,M,是,45-49,1
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,F,是,15-19,2
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,F,是,20-24,3
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,F,是,30-34,2
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,F,是,60-64,2
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,M,是,15-19,1
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,M,是,20-24,2
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,M,是,30-34,2
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,M,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,M,是,45-49,1
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,M,是,50-54,3
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,M,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,M,是,65-69,1
嚴重特殊傳染性肺炎,2020/03/20,空值,空值,M,是,70+,1
嚴重特殊傳染性肺炎,2020/03/20,新竹市,東區,F,否,65-69,1
嚴重特殊傳染性肺炎,2020/03/20,新竹市,東區,M,否,30-34,1
嚴重特殊傳染性肺炎,2020/03/21,空值,空值,F,是,15-19,1
嚴重特殊傳染性肺炎,2020/03/21,空值,空值,F,是,20-24,2
嚴重特殊傳染性肺炎,2020/03/21,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/21,空值,空值,F,是,55-59,1
嚴重特殊傳染性肺炎,2020/03/21,空值,空值,F,是,5-9,1
嚴重特殊傳染性肺炎,2020/03/21,空值,空值,F,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/21,空值,空值,M,是,55-59,1
嚴重特殊傳染性肺炎,2020/03/21,空值,空值,M,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/21,空值,空值,M,是,70+,1
嚴重特殊傳染性肺炎,2020/03/22,台中市,大里區,F,否,40-44,1
嚴重特殊傳染性肺炎,2020/03/22,空值,空值,F,是,15-19,2
嚴重特殊傳染性肺炎,2020/03/22,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/22,空值,空值,F,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/22,空值,空值,F,是,40-44,1
嚴重特殊傳染性肺炎,2020/03/22,空值,空值,F,是,50-54,1
嚴重特殊傳染性肺炎,2020/03/22,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/22,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/22,空值,空值,M,是,30-34,2
嚴重特殊傳染性肺炎,2020/03/22,空值,空值,M,是,40-44,2
嚴重特殊傳染性肺炎,2020/03/22,空值,空值,M,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/22,空值,空值,M,是,65-69,1
嚴重特殊傳染性肺炎,2020/03/23,台北市,大安區,F,否,45-49,1
嚴重特殊傳染性肺炎,2020/03/23,空值,空值,F,是,15-19,1
嚴重特殊傳染性肺炎,2020/03/23,空值,空值,F,是,20-24,4
嚴重特殊傳染性肺炎,2020/03/23,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/23,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/23,空值,空值,F,是,40-44,1
嚴重特殊傳染性肺炎,2020/03/23,空值,空值,F,是,55-59,1
嚴重特殊傳染性肺炎,2020/03/23,空值,空值,M,是,15-19,1
嚴重特殊傳染性肺炎,2020/03/23,空值,空值,M,是,20-24,4
嚴重特殊傳染性肺炎,2020/03/23,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/23,空值,空值,M,是,45-49,2
嚴重特殊傳染性肺炎,2020/03/23,空值,空值,M,是,50-54,1
嚴重特殊傳染性肺炎,2020/03/23,空值,空值,M,是,55-59,2
嚴重特殊傳染性肺炎,2020/03/23,空值,空值,M,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/23,桃園市,中壢區,M,否,35-39,1
嚴重特殊傳染性肺炎,2020/03/23,新北市,汐止區,M,否,50-54,1
嚴重特殊傳染性肺炎,2020/03/24,台北市,內湖區,F,否,45-49,1
嚴重特殊傳染性肺炎,2020/03/24,空值,空值,F,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/24,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/24,空值,空值,F,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/24,空值,空值,F,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/24,空值,空值,F,是,70+,1
嚴重特殊傳染性肺炎,2020/03/24,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/25,台北市,文山區,M,否,20-24,1
嚴重特殊傳染性肺炎,2020/03/25,空值,空值,F,是,20-24,4
嚴重特殊傳染性肺炎,2020/03/25,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/25,空值,空值,F,是,50-54,1
嚴重特殊傳染性肺炎,2020/03/25,空值,空值,F,是,65-69,2
嚴重特殊傳染性肺炎,2020/03/25,空值,空值,M,是,15-19,1
嚴重特殊傳染性肺炎,2020/03/25,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/25,空值,空值,M,是,40-44,1
嚴重特殊傳染性肺炎,2020/03/25,新北市,三重區,M,否,70+,1
嚴重特殊傳染性肺炎,2020/03/25,新竹市,東區,M,否,4,1
嚴重特殊傳染性肺炎,2020/03/26,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/26,空值,空值,F,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/26,空值,空值,F,是,40-44,1
嚴重特殊傳染性肺炎,2020/03/26,空值,空值,M,是,15-19,1
嚴重特殊傳染性肺炎,2020/03/26,空值,空值,M,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/26,桃園市,中壢區,M,否,5-9,1
嚴重特殊傳染性肺炎,2020/03/26,基隆市,仁愛區,M,否,65-69,1
嚴重特殊傳染性肺炎,2020/03/27,空值,空值,F,是,20-24,2
嚴重特殊傳染性肺炎,2020/03/27,空值,空值,F,是,30-34,2
嚴重特殊傳染性肺炎,2020/03/27,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/27,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/03/27,空值,空值,M,是,45-49,1
嚴重特殊傳染性肺炎,2020/03/28,空值,空值,F,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/28,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/28,空值,空值,M,是,25-29,2
嚴重特殊傳染性肺炎,2020/03/28,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/28,空值,空值,M,是,65-69,1
嚴重特殊傳染性肺炎,2020/03/29,空值,空值,F,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/29,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/30,空值,空值,F,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/30,空值,空值,F,是,30-34,1
嚴重特殊傳染性肺炎,2020/03/30,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/30,空值,空值,F,是,45-49,1
嚴重特殊傳染性肺炎,2020/03/30,空值,空值,F,是,55-59,1
嚴重特殊傳染性肺炎,2020/03/30,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/03/30,空值,空值,M,是,35-39,1
嚴重特殊傳染性肺炎,2020/03/30,桃園市,龜山區,M,否,45-49,1
嚴重特殊傳染性肺炎,2020/03/31,空值,空值,F,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/31,空值,空值,M,是,60-64,1
嚴重特殊傳染性肺炎,2020/03/31,空值,空值,M,是,65-69,1
嚴重特殊傳染性肺炎,2020/04/01,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/04/01,空值,空值,F,是,65-69,1
嚴重特殊傳染性肺炎,2020/04/01,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/04/01,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/04/02,空值,空值,F,是,20-24,1
嚴重特殊傳染性肺炎,2020/04/02,空值,空值,F,是,30-34,1
嚴重特殊傳染性肺炎,2020/04/02,空值,空值,F,是,40-44,1
嚴重特殊傳染性肺炎,2020/04/02,空值,空值,F,是,60-64,1
嚴重特殊傳染性肺炎,2020/04/02,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/04/02,空值,空值,M,是,60-64,1
嚴重特殊傳染性肺炎,2020/04/02,空值,空值,M,是,65-69,1
嚴重特殊傳染性肺炎,2020/04/03,空值,空值,F,是,30-34,1
嚴重特殊傳染性肺炎,2020/04/03,空值,空值,F,是,40-44,1
嚴重特殊傳染性肺炎,2020/04/03,空值,空值,M,是,70+,1
嚴重特殊傳染性肺炎,2020/04/03,桃園市,蘆竹區,F,否,30-34,1
嚴重特殊傳染性肺炎,2020/04/04,空值,空值,F,是,20-24,1
嚴重特殊傳染性肺炎,2020/04/04,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/04/04,空值,空值,M,是,25-29,3
嚴重特殊傳染性肺炎,2020/04/04,空值,空值,M,是,55-59,1
嚴重特殊傳染性肺炎,2020/04/05,空值,空值,F,是,20-24,1
嚴重特殊傳染性肺炎,2020/04/05,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/04/06,台北市,文山區,M,否,20-24,1
嚴重特殊傳染性肺炎,2020/04/06,空值,空值,F,是,60-64,1
嚴重特殊傳染性肺炎,2020/04/09,空值,空值,F,是,65-69,1
嚴重特殊傳染性肺炎,2020/04/09,空值,空值,M,是,65-69,1
嚴重特殊傳染性肺炎,2020/04/09,新北市,淡水區,M,否,25-29,1
嚴重特殊傳染性肺炎,2020/04/10,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/04/11,空值,空值,F,是,60-64,1
嚴重特殊傳染性肺炎,2020/04/12,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/04/13,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/04/13,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/04/13,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/04/14,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/04/14,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/04/14,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/04/14,空值,空值,M,是,35-39,2
嚴重特殊傳染性肺炎,2020/04/15,空值,空值,F,是,30-34,1
嚴重特殊傳染性肺炎,2020/04/15,空值,空值,M,是,20-24,2
嚴重特殊傳染性肺炎,2020/04/17,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/04/18,空值,空值,F,是,20-24,2
嚴重特殊傳染性肺炎,2020/04/18,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/04/18,空值,空值,M,是,25-29,3
嚴重特殊傳染性肺炎,2020/04/18,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/04/18,空值,空值,M,是,35-39,1
嚴重特殊傳染性肺炎,2020/04/18,空值,空值,M,是,40-44,1
嚴重特殊傳染性肺炎,2020/04/19,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/04/19,空值,空值,M,是,25-29,2
嚴重特殊傳染性肺炎,2020/04/21,空值,空值,M,是,25-29,1
嚴重特殊傳染性肺炎,2020/04/22,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/04/26,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/04/26,空值,空值,M,是,40-44,1
嚴重特殊傳染性肺炎,2020/04/27,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/04/30,空值,空值,M,是,30-34,1
嚴重特殊傳染性肺炎,2020/05/03,空值,空值,M,是,20-24,4
嚴重特殊傳染性肺炎,2020/05/04,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/05/15,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/05/18,空值,空值,F,是,50-54,1
嚴重特殊傳染性肺炎,2020/05/23,空值,空值,M,是,55-59,1
嚴重特殊傳染性肺炎,2020/05/25,空值,空值,F,是,45-49,1
嚴重特殊傳染性肺炎,2020/06/01,空值,空值,M,是,60-64,1
嚴重特殊傳染性肺炎,2020/06/16,空值,空值,M,是,65-69,1
嚴重特殊傳染性肺炎,2020/06/17,空值,空值,M,是,50-54,1
嚴重特殊傳染性肺炎,2020/06/19,空值,空值,F,是,35-39,1
嚴重特殊傳染性肺炎,2020/06/19,空值,空值,M,是,35-39,1
嚴重特殊傳染性肺炎,2020/06/27,空值,空值,M,是,55-59,1
嚴重特殊傳染性肺炎,2020/07/02,空值,空值,M,是,55-59,1
嚴重特殊傳染性肺炎,2020/07/07,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/07/10,空值,空值,M,是,70+,1
嚴重特殊傳染性肺炎,2020/07/11,空值,空值,M,是,40-44,1
嚴重特殊傳染性肺炎,2020/07/12,空值,空值,F,是,70+,1
嚴重特殊傳染性肺炎,2020/07/13,空值,空值,M,是,35-39,1
嚴重特殊傳染性肺炎,2020/07/13,空值,空值,M,是,50-54,1
